Location,Date,Hour,Temperature,Condition,Pressure,Humidity,Luminosity,Rain,Place,Clothes
Cluj-Napoca,2022-04-02,04:00,8.9,Overcast,993.0,93,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-02,05:00,8.6,Overcast,994.0,93,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-02,06:00,8.4,Overcast,994.0,93,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-02,07:00,8.3,Overcast,995.0,90,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-02,08:00,8.3,Overcast,996.0,86,2.0,0,home,Pijamas
Cluj-Napoca,2022-04-02,09:00,8.2,Overcast,997.0,83,2.0,0,home,Pijamas
Cluj-Napoca,2022-04-02,10:00,8.8,Overcast,997.0,75,2.0,0,shopping mall,"Jeans, blouse, boots"
Cluj-Napoca,2022-04-02,11:00,9.4,Overcast,998.0,68,2.0,0,shopping mall,"Jeans, blouse, boots"
Cluj-Napoca,2022-04-02,12:00,8.8,Patchy rain possible,998.0,61,2.0,1,shopping mall,"Jeans, blouse, raincoat, boots"
Cluj-Napoca,2022-04-02,13:00,9.0,Patchy rain possible,998.0,58,2.0,1,shopping mall,"Jeans, blouse, raincoat, boots"
Cluj-Napoca,2022-04-02,14:00,8.9,Moderate rain at times,999.0,56,2.0,1,shopping mall,"Jeans, blouse, raincoat, boots"
Cluj-Napoca,2022-04-02,15:00,9.0,Moderate rain at times,999.0,54,2.0,1,shopping mall,"Jeans, blouse, raincoat, boots"
Cluj-Napoca,2022-04-02,16:00,8.4,Patchy rain possible,999.0,59,2.0,1,shopping mall,"Jeans, blouse, raincoat, boots"
Cluj-Napoca,2022-04-02,17:00,7.8,Patchy rain possible,999.0,64,2.0,1,home,Pijamas
Cluj-Napoca,2022-04-02,18:00,8.0,Patchy rain possible,999.0,69,2.0,1,home,Pijamas
Cluj-Napoca,2022-04-02,19:00,6.9,Partly cloudy,999.0,74,3.0,0,home,Pijamas
Cluj-Napoca,2022-04-02,20:00,5.7,Patchy rain possible,1000.0,79,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-02,21:00,4.6,Moderate rain at times,1000.0,84,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-02,22:00,3.7,Patchy rain possible,1001.0,88,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-02,23:00,2.9,Patchy rain possible,1002.0,93,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,00:00,2.0,Patchy rain possible,1003.0,97,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,01:00,2.2,Patchy rain possible,1003.0,98,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,02:00,2.5,Patchy rain possible,1003.0,98,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,03:00,2.7,Patchy rain possible,1003.0,99,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,04:00,2.5,Patchy rain possible,1003.0,98,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,05:00,2.2,Patchy rain possible,1004.0,98,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,06:00,2.0,Patchy rain possible,1004.0,98,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,07:00,2.0,Patchy rain possible,1005.0,94,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,08:00,2.1,Patchy rain possible,1005.0,91,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,09:00,2.1,Moderate rain at times,1006.0,87,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,10:00,3.0,Patchy rain possible,1007.0,81,1.0,1,park,"Jeans, blouse, coat, boots"
Cluj-Napoca,2022-04-03,11:00,3.8,Patchy rain possible,1007.0,76,1.0,1,park,"Jeans, blouse, coat, boots"
Cluj-Napoca,2022-04-03,12:00,4.7,Patchy rain possible,1008.0,70,1.0,1,park,"Jeans, blouse, coat, boots"
Cluj-Napoca,2022-04-03,13:00,4.1,Patchy rain possible,1009.0,72,1.0,1,park,"Jeans, blouse, coat, boots"
Cluj-Napoca,2022-04-03,14:00,3.4,Patchy rain possible,1009.0,74,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,15:00,2.8,Patchy rain possible,1010.0,76,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,16:00,2.3,Patchy rain possible,1012.0,75,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,17:00,1.9,Patchy rain possible,1013.0,74,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-03,18:00,1.4,Patchy rain possible,1014.0,72,1.0,1,restaurant,"Slacks, button-up shirt, raincoat, boots"
Cluj-Napoca,2022-04-03,19:00,0.7,Cloudy,1015.0,70,1.0,0,restaurant,"Slacks, button-up shirt, coat, boots"
Cluj-Napoca,2022-04-03,20:00,0.1,Partly cloudy,1016.0,68,1.0,0,restaurant,"Slacks, button-up shirt, coat, boots"
Cluj-Napoca,2022-04-03,21:00,-0.6,Partly cloudy,1017.0,66,1.0,0,restaurant,"Slacks, button-up shirt, coat, boots"
Cluj-Napoca,2022-04-03,22:00,-1.1,Partly cloudy,1018.0,68,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-03,23:00,-1.5,Cloudy,1018.0,70,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-04,00:00,-2.0,Overcast,1018.0,72,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-04,01:00,-1.9,Cloudy,1019.0,72,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-04,02:00,-1.7,Partly cloudy,1019.0,73,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-04,03:00,-1.6,Partly cloudy,1020.0,73,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-04,04:00,-1.7,Partly cloudy,1020.0,73,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-04,05:00,-1.9,Partly cloudy,1020.0,73,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-04,06:00,-2.0,Partly cloudy,1020.0,73,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-04,07:00,-0.7,Partly cloudy,1021.0,68,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-04,08:00,0.6,Partly cloudy,1021.0,64,2.0,0,home,Pijamas
Cluj-Napoca,2022-04-04,09:00,1.9,Patchy rain possible,1021.0,59,1.0,1,office,"Slacks, button-up shirt, jacket, boots"
Cluj-Napoca,2022-04-04,10:00,2.7,Patchy rain possible,1021.0,60,1.0,1,office,"Slacks, button-up shirt, jacket, boots"
Cluj-Napoca,2022-04-04,11:00,3.5,Patchy rain possible,1020.0,60,1.0,1,office,"Slacks, button-up shirt, jacket, boots"
Cluj-Napoca,2022-04-04,12:00,4.3,Patchy rain possible,1020.0,61,1.0,1,office,"Slacks, button-up shirt, jacket, boots"
Cluj-Napoca,2022-04-04,13:00,4.2,Patchy rain possible,1019.0,64,1.0,1,office,"Slacks, button-up shirt, jacket, boots"
Cluj-Napoca,2022-04-04,14:00,4.2,Patchy rain possible,1019.0,68,1.0,1,office,"Slacks, button-up shirt, jacket, boots"
Cluj-Napoca,2022-04-04,15:00,4.1,Overcast,1019.0,71,1.0,0,office,"Slacks, button-up shirt, boots"
Cluj-Napoca,2022-04-04,16:00,4.0,Overcast,1019.0,72,1.0,0,office,"Slacks, button-up shirt, boots"
Cluj-Napoca,2022-04-04,17:00,3.9,Overcast,1019.0,72,1.0,0,office,"Slacks, button-up shirt, boots"
Cluj-Napoca,2022-04-04,18:00,3.8,Overcast,1019.0,73,1.0,0,office,"Slacks, button-up shirt, boots"
Cluj-Napoca,2022-04-04,19:00,2.6,Cloudy,1019.0,77,1.0,0,gym,"Leggings, t-shirt, sneakers"
Cluj-Napoca,2022-04-04,20:00,1.5,Partly cloudy,1019.0,82,1.0,0,gym,"Leggings, t-shirt, sneakers"
Cluj-Napoca,2022-04-04,21:00,0.3,Clear,1020.0,87,1.0,0,gym,"Leggings, athletic shirt, sneakers"
Cluj-Napoca,2022-04-04,22:00,0.0,Clear,1019.0,84,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-04,23:00,-1.4,Clear,1018.0,81,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-05,00:00,-1.7,Clear,1017.0,78,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-05,01:00,-1.6,Clear,1016.0,77,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-05,02:00,-1.7,Clear,1016.0,77,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-05,03:00,-1.7,Clear,1015.0,76,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-05,04:00,-1.6,Clear,1015.0,76,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-05,05:00,-1.8,Clear,1014.0,75,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-05,06:00,-1.9,Clear,1014.0,75,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-05,07:00,0.2,Sunny,1013.0,67,2.0,0,home,Pijamas
Cluj-Napoca,2022-04-05,08:00,3.7,Sunny,1012.0,59,2.0,0,home,Pijamas
Cluj-Napoca,2022-04-05,09:00,6.2,Sunny,1012.0,51,3.0,0,office,"Slacks, button-up shirt, boots"
Cluj-Napoca,2022-04-05,10:00,8.1,Sunny,1011.0,46,3.0,0,office,"Slacks, button-up shirt, boots"
Cluj-Napoca,2022-04-05,11:00,9.8,Sunny,1010.0,41,3.0,0,office,"Slacks, button-up shirt, boots"
Cluj-Napoca,2022-04-05,12:00,11.4,Sunny,1009.0,37,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-05,13:00,12.0,Sunny,1009.0,38,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-05,14:00,12.9,Sunny,1008.0,39,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-05,15:00,12.7,Sunny,1008.0,40,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-05,16:00,11.7,Sunny,1008.0,46,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-05,17:00,10.7,Sunny,1008.0,52,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-05,18:00,9.7,Partly cloudy,1008.0,58,3.0,0,office,"Slacks, button-up shirt, boots"
Cluj-Napoca,2022-04-05,19:00,8.1,Partly cloudy,1008.0,62,3.0,0,gym,"Leggings, t-shirt, sneakers"
Cluj-Napoca,2022-04-05,20:00,6.6,Partly cloudy,1009.0,65,1.0,0,gym,"Leggings, t-shirt, sneakers"
Cluj-Napoca,2022-04-05,21:00,5.0,Partly cloudy,1009.0,69,1.0,0,gym,"Leggings, t-shirt, sneakers"
Cluj-Napoca,2022-04-05,22:00,5.0,Partly cloudy,1010.0,67,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-05,23:00,5.1,Partly cloudy,1010.0,66,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-06,00:00,3.9,Partly cloudy,1011.0,64,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-06,01:00,4.0,Cloudy,1011.0,65,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-06,02:00,4.0,Cloudy,1011.0,66,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-06,03:00,4.4,Overcast,1012.0,68,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-06,04:00,4.2,Overcast,1012.0,71,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-06,05:00,3.8,Cloudy,1012.0,75,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-06,06:00,3.6,Cloudy,1013.0,79,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-06,07:00,4.7,Partly cloudy,1013.0,73,2.0,0,home,Pijamas
Cluj-Napoca,2022-04-06,08:00,6.7,Partly cloudy,1013.0,67,3.0,0,home,Pijamas
Cluj-Napoca,2022-04-06,09:00,9.8,Partly cloudy,1013.0,60,3.0,0,office,"Slacks, button-up shirt, boots"
Cluj-Napoca,2022-04-06,10:00,11.2,Partly cloudy,1012.0,58,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-06,11:00,12.5,Partly cloudy,1012.0,55,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-06,12:00,13.9,Cloudy,1012.0,52,3.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-06,13:00,14.0,Partly cloudy,1011.0,51,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-06,14:00,14.0,Partly cloudy,1010.0,50,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-06,15:00,14.1,Partly cloudy,1010.0,49,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-06,16:00,14.9,Partly cloudy,1009.0,53,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-06,17:00,14.8,Partly cloudy,1009.0,57,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-06,18:00,13.2,Sunny,1008.0,62,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-06,19:00,11.3,Sunny,1008.0,66,4.0,0,gym,"Leggins, t-shirt, running shoes"
Cluj-Napoca,2022-04-06,20:00,9.5,Sunny,1008.0,70,3.0,0,gym,"Leggings, t-shirt, sneakers"
Cluj-Napoca,2022-04-06,21:00,7.6,Clear,1008.0,75,1.0,0,gym,"Leggings, t-shirt, sneakers"
Cluj-Napoca,2022-04-06,22:00,7.2,Clear,1008.0,75,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-06,23:00,6.9,Clear,1007.0,75,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-07,00:00,6.5,Clear,1006.0,75,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-07,01:00,5.5,Clear,1005.0,74,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-07,02:00,5.4,Partly cloudy,1005.0,74,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-07,03:00,5.4,Partly cloudy,1004.0,73,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-07,04:00,5.5,Cloudy,1003.0,75,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-07,05:00,5.5,Cloudy,1003.0,77,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-07,06:00,5.5,Overcast,1002.0,79,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-07,07:00,5.9,Overcast,1002.0,83,2.0,0,home,Pijamas
Cluj-Napoca,2022-04-07,08:00,8.2,Overcast,1001.0,87,2.0,0,home,Pijamas
Cluj-Napoca,2022-04-07,09:00,8.2,Overcast,1001.0,92,2.0,0,office,"Slacks, button-up shirt, boots"
Cluj-Napoca,2022-04-07,10:00,9.7,Overcast,1001.0,90,2.0,0,office,"Slacks, button-up shirt, boots"
Cluj-Napoca,2022-04-07,11:00,10.6,Overcast,1000.0,88,3.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-07,12:00,11.5,Overcast,1000.0,86,3.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-07,13:00,11.7,Overcast,1000.0,87,3.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-07,14:00,11.5,Overcast,999.0,87,3.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-07,15:00,11.0,Overcast,999.0,88,3.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-07,16:00,10.7,Overcast,999.0,91,3.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-07,17:00,10.0,Overcast,1000.0,93,3.0,0,office,"Slacks, button-up shirt, boots"
Cluj-Napoca,2022-04-07,18:00,9.4,Overcast,1000.0,95,2.0,0,office,"Slacks, button-up shirt, boots"
Cluj-Napoca,2022-04-07,19:00,8.5,Cloudy,1001.0,94,2.0,0,gym,"Leggings, t-shirt, sneakers"
Cluj-Napoca,2022-04-07,20:00,7.7,Cloudy,1001.0,94,2.0,0,gym,"Leggings, t-shirt, sneakers"
Cluj-Napoca,2022-04-07,21:00,6.8,Partly cloudy,1002.0,93,1.0,0,gym,"Leggings, t-shirt, sneakers"
Cluj-Napoca,2022-04-07,22:00,6.0,Partly cloudy,1002.0,90,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-07,23:00,6.8,Cloudy,1003.0,87,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-08,00:00,7.5,Overcast,1003.0,84,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-08,01:00,7.4,Cloudy,1003.0,86,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-08,02:00,6.0,Cloudy,1004.0,87,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-08,03:00,5.3,Cloudy,1004.0,88,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-08,04:00,4.8,Partly cloudy,1004.0,88,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-08,05:00,4.5,Partly cloudy,1005.0,88,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-08,06:00,4.4,Clear,1005.0,88,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-08,07:00,6.0,Sunny,1005.0,79,3.0,0,home,Pijamas
Cluj-Napoca,2022-04-08,08:00,8.1,Sunny,1005.0,69,3.0,0,home,Pijamas
Cluj-Napoca,2022-04-08,09:00,11.1,Sunny,1005.0,60,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-08,10:00,13.9,Sunny,1005.0,57,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-08,11:00,15.0,Partly cloudy,1005.0,55,5.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-08,12:00,14.9,Partly cloudy,1006.0,52,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-08,13:00,16.2,Partly cloudy,1005.0,50,5.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-08,14:00,16.1,Partly cloudy,1005.0,48,5.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-08,15:00,16.1,Partly cloudy,1005.0,47,5.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-08,16:00,15.2,Partly cloudy,1005.0,52,5.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-08,17:00,14.4,Partly cloudy,1005.0,57,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-08,18:00,13.5,Partly cloudy,1006.0,62,4.0,0,office,"Skirt, blouse, heels shoes"
Cluj-Napoca,2022-04-08,19:00,12.3,Partly cloudy,1006.0,65,4.0,0,gym,"Leggins, t-shirt, running shoes"
Cluj-Napoca,2022-04-08,20:00,11.2,Partly cloudy,1007.0,67,4.0,0,gym,"Leggins, t-shirt, running shoes"
Cluj-Napoca,2022-04-08,21:00,10.0,Cloudy,1007.0,70,1.0,0,gym,"Leggings, t-shirt, sneakers"
Cluj-Napoca,2022-04-08,22:00,8.2,Cloudy,1007.0,74,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-08,23:00,8.5,Overcast,1006.0,79,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-09,00:00,7.8,Overcast,1006.0,83,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-09,01:00,8.3,Cloudy,1005.0,83,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-09,02:00,7.5,Cloudy,1004.0,83,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-09,03:00,7.9,Partly cloudy,1004.0,83,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-09,04:00,8.1,Partly cloudy,1003.0,83,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-09,05:00,8.2,Cloudy,1003.0,83,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-09,06:00,8.4,Patchy rain possible,1002.0,83,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-09,07:00,9.4,Patchy rain possible,1002.0,77,2.0,1,home,Pijamas
Cluj-Napoca,2022-04-09,08:00,10.9,Moderate rain at times,1002.0,71,3.0,1,home,Pijamas
Cluj-Napoca,2022-04-09,09:00,13.7,Patchy rain possible,1001.0,65,3.0,1,home,Pijamas
Cluj-Napoca,2022-04-09,10:00,15.1,Patchy rain possible,1001.0,60,4.0,1,shopping mall,"Jeans, hoodie, raincoat, sneakers"
Cluj-Napoca,2022-04-09,11:00,16.4,Patchy rain possible,1001.0,55,4.0,1,shopping mall,"Jeans, hoodie, raincoat, sneakers"
Cluj-Napoca,2022-04-09,12:00,17.8,Patchy rain possible,1000.0,49,4.0,1,shopping mall,"Jeans, hoodie, raincoat, sneakers"
Cluj-Napoca,2022-04-09,13:00,17.9,Patchy rain possible,1000.0,49,4.0,1,shopping mall,"Jeans, hoodie, raincoat, sneakers"
Cluj-Napoca,2022-04-09,14:00,18.0,Patchy rain possible,1000.0,48,4.0,1,shopping mall,"Jeans, hoodie, raincoat, sneakers"
Cluj-Napoca,2022-04-09,15:00,17.0,Heavy rain at times,1000.0,48,4.0,1,shopping mall,"Jeans, hoodie, raincoat, sneakers"
Cluj-Napoca,2022-04-09,16:00,17.2,Moderate rain at times,1000.0,52,4.0,1,shopping mall,"Jeans, hoodie, raincoat, sneakers"
Cluj-Napoca,2022-04-09,17:00,16.4,Heavy rain at times,1000.0,57,4.0,1,home,Pijamas
Cluj-Napoca,2022-04-09,18:00,15.5,Patchy rain possible,1000.0,61,4.0,1,home,Pijamas
Cluj-Napoca,2022-04-09,19:00,14.1,Patchy rain possible,1001.0,66,3.0,1,home,Pijamas
Cluj-Napoca,2022-04-09,20:00,12.6,Patchy rain possible,1002.0,71,3.0,1,home,Pijamas
Cluj-Napoca,2022-04-09,21:00,11.2,Cloudy,1002.0,76,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-09,22:00,9.3,Overcast,1004.0,80,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-09,23:00,7.5,Patchy rain possible,1005.0,84,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,00:00,5.6,Patchy rain possible,1007.0,88,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,01:00,5.2,Patchy rain possible,1007.0,87,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,02:00,4.9,Patchy rain possible,1007.0,86,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,03:00,4.5,Patchy rain possible,1008.0,85,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,04:00,3.9,Patchy rain possible,1008.0,89,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,05:00,3.3,Moderate rain at times,1007.0,94,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,06:00,2.7,Moderate rain at times,1007.0,98,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,07:00,2.5,Moderate rain at times,1008.0,98,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,08:00,2.2,Heavy rain at times,1009.0,98,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,09:00,2.0,Heavy rain at times,1010.0,98,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,10:00,2.2,Heavy rain at times,1010.0,98,1.0,1,park,"Jeans, blouse, coat, boots"
Cluj-Napoca,2022-04-10,11:00,2.5,Heavy rain at times,1011.0,99,1.0,1,park,"Jeans, blouse, coat, boots"
Cluj-Napoca,2022-04-10,12:00,2.7,Moderate rain at times,1011.0,99,1.0,1,park,"Jeans, blouse, coat, boots"
Cluj-Napoca,2022-04-10,13:00,3.1,Moderate rain at times,1011.0,99,1.0,1,park,"Jeans, blouse, coat, boots"
Cluj-Napoca,2022-04-10,14:00,3.4,Patchy rain possible,1011.0,99,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,15:00,3.8,Patchy rain possible,1012.0,98,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,16:00,4.1,Patchy rain possible,1012.0,96,1.0,1,home,Pijamas
Cluj-Napoca,2022-04-10,17:00,4.3,Overcast,1012.0,93,1.0,0,home,Pijamas
Cluj-Napoca,2022-04-10,18:00,4.6,Overcast,1013.0,90,1.0,0,restaurant,"Slacks, button-up shirt, jacket, boots"
