Date,Temperature (C),Humidity (%),Wind Speed (km/h),Luminosity (klux),Rain,Umbrella,Condition,Clothes
2022-02-06,0.2,78,43.1,9.8,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-02-07,0.2,69,11.4,10.0,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-02-08,11.7,81,9.5,7.0,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-02-09,26.7,63,15.1,8.4,Yes,Yes,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-02-10,7.3,74,5.3,3.9,No,No,Cloudy,"sweater, pants, boots"
2022-02-11,24.6,5,5.4,4.1,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-02-12,-0.1,69,28.2,0.3,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-02-13,6.5,69,5.5,8.0,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-02-14,28.8,67,43.4,5.8,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-02-15,-0.0,50,1.4,8.6,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-02-16,19.3,87,23.4,9.7,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-02-17,3.2,24,29.8,0.3,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-02-18,21.7,49,46.4,9.8,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-02-19,26.8,20,3.9,2.2,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-02-20,13.6,0,24.0,0.9,No,No,Cloudy,"sweater, pants, boots"
2022-02-21,-7.8,0,15.2,9.7,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-02-22,6.1,55,31.7,2.0,No,No,Cloudy,"sweater, pants, boots"
2022-02-23,-9.0,66,18.7,1.5,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-02-24,7.9,37,20.5,8.3,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-02-25,22.2,7,3.8,3.2,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-02-26,0.2,94,26.9,2.3,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-02-27,1.5,100,10.3,4.9,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-02-28,12.0,72,25.5,5.9,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-02-29,-9.7,56,16.7,7.2,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-02-30,8.5,58,11.3,8.2,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-02-31,27.8,26,0.2,1.0,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-03-01,11.6,23,45.8,5.6,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-03-02,27.6,29,12.1,5.3,Yes,Yes,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-03-03,28.2,20,11.2,3.9,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-03-04,19.4,20,19.7,2.1,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-03-05,7.7,51,49.7,7.4,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-03-06,8.2,78,2.4,9.1,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-03-07,10.1,8,34.8,7.3,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-03-08,10.1,32,38.6,6.9,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-03-09,28.0,22,42.8,2.0,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-03-10,21.0,56,32.1,6.9,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-03-11,18.0,57,4.0,0.6,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-03-12,0.5,24,8.7,6.9,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-03-13,0.2,63,26.2,9.8,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-03-14,0.8,35,20.2,9.8,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-03-15,28.4,72,33.4,4.3,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-03-16,19.1,2,23.4,4.0,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-03-17,1.2,30,6.6,0.4,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-03-18,25.8,8,15.0,5.9,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-03-19,18.5,61,5.3,1.0,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-03-20,27.4,23,23.5,7.7,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-03-21,22.9,62,39.0,2.9,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-03-22,2.4,47,47.2,6.9,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-03-23,16.7,41,39.6,1.0,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-03-24,-9.1,43,42.9,2.1,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-03-25,12.5,90,20.2,0.7,No,No,Cloudy,"sweater, pants, boots"
2022-03-26,14.1,47,17.9,7.7,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-03-27,7.4,86,16.8,0.2,No,No,Cloudy,"sweater, pants, boots"
2022-03-28,17.0,88,48.1,5.6,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-03-29,10.2,34,8.1,6.7,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-03-30,21.5,75,23.7,8.5,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-03-31,19.8,100,36.4,7.9,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-04-01,7.4,99,31.7,8.9,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-04-02,26.3,91,15.4,2.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-04-03,26.5,95,42.0,5.5,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-04-04,27.2,94,35.4,7.0,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-04-05,23.8,55,41.6,4.4,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-04-06,-0.3,78,10.4,5.2,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-04-07,15.1,48,15.2,5.8,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-04-08,12.8,64,38.4,5.1,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-04-09,10.9,78,24.2,1.1,No,No,Cloudy,"sweater, pants, boots"
2022-04-10,-4.7,85,45.4,1.7,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-04-11,20.5,25,1.8,0.1,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-04-12,19.7,97,13.7,9.0,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-04-13,-7.3,57,12.3,0.6,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-04-14,-5.1,1,37.7,6.6,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-04-15,21.4,47,40.1,5.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-04-16,-8.7,81,23.8,1.2,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-04-17,5.9,5,19.9,6.9,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-04-18,29.8,37,40.1,4.5,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-04-19,7.7,97,6.1,2.9,Yes,Yes,Cloudy,"sweater, pants, boots"
2022-04-20,29.3,32,17.9,9.9,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-04-21,-3.5,42,30.0,0.7,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-04-22,20.8,24,44.7,1.0,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-04-23,7.1,89,34.7,5.9,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-04-24,-3.8,87,18.5,9.0,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-04-25,21.0,8,13.2,3.5,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-04-26,-8.4,3,28.4,9.4,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-04-27,-2.8,47,18.8,2.5,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-04-28,2.9,97,39.6,0.5,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-04-29,10.8,11,16.8,9.6,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-04-30,13.8,100,23.6,2.9,Yes,Yes,Cloudy,"sweater, pants, boots"
2022-04-31,-6.4,16,44.0,8.6,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-05-01,9.1,8,2.8,2.8,Yes,Yes,Cloudy,"sweater, pants, boots"
2022-05-02,0.0,13,33.9,1.5,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-05-03,-0.0,57,11.0,6.3,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-05-04,16.9,45,1.1,2.7,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-05-05,4.4,13,13.4,9.9,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-05-06,-9.4,71,16.3,7.7,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-05-07,-1.3,85,1.6,8.2,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-05-08,25.2,5,3.6,4.7,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-05-09,24.6,93,21.4,2.8,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-05-10,-8.5,93,5.3,7.6,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-05-11,20.3,86,14.6,5.5,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-05-12,23.2,45,39.1,0.8,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-05-13,12.4,38,29.2,5.9,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-05-14,16.6,18,0.1,6.4,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-05-15,1.0,68,23.6,9.4,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-05-16,-4.8,11,48.4,7.5,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-05-17,27.4,50,39.3,3.8,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-05-18,9.3,54,18.9,7.0,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-05-19,17.3,52,4.9,7.1,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-05-20,12.8,89,46.1,5.2,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-05-21,25.6,20,26.8,2.2,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-05-22,-7.3,76,14.3,9.5,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-05-23,20.6,49,47.9,1.2,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-05-24,6.1,24,19.4,2.0,No,No,Cloudy,"sweater, pants, boots"
2022-05-25,25.3,65,4.9,5.8,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-05-26,0.8,91,48.5,10.0,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-05-27,-6.2,74,1.9,9.4,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-05-28,-4.7,58,49.7,2.7,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-05-29,10.9,38,26.3,6.8,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-05-30,6.7,97,4.1,3.9,No,No,Cloudy,"sweater, pants, boots"
2022-05-31,9.9,36,14.1,5.1,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-06-01,20.5,80,2.6,4.3,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-06-02,5.8,7,23.6,8.5,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-06-03,24.5,12,5.4,7.1,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-06-04,5.5,47,5.7,9.8,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-06-05,14.9,76,33.9,3.1,No,No,Cloudy,"sweater, pants, boots"
2022-06-06,-6.1,80,41.3,8.6,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-06-07,12.1,69,5.7,6.8,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-06-08,2.4,45,49.3,5.0,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-06-09,19.7,78,1.7,3.6,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-06-10,0.9,61,14.5,9.3,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-06-11,15.2,33,22.9,9.0,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-06-12,20.6,32,48.2,5.8,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-06-13,-4.9,28,42.9,2.6,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-06-14,6.9,67,28.0,2.1,No,No,Cloudy,"sweater, pants, boots"
2022-06-15,-5.8,71,16.8,7.2,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-06-16,13.5,7,2.7,8.5,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-06-17,29.6,76,30.2,1.7,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-06-18,7.1,79,41.3,7.3,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-06-19,-7.0,75,22.7,5.4,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-06-20,2.6,58,47.6,7.1,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-06-21,26.3,82,11.8,4.5,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-06-22,-2.0,41,31.1,6.8,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-06-23,10.2,19,35.2,0.2,No,No,Cloudy,"sweater, pants, boots"
2022-06-24,1.4,12,7.2,6.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-06-25,-2.3,25,35.5,10.0,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-06-26,28.6,81,30.5,6.7,Yes,Yes,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-06-27,-1.7,87,16.6,5.0,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-06-28,14.3,85,14.6,6.7,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-06-29,-8.4,76,11.5,1.1,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-06-30,23.9,94,48.3,2.4,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-06-31,8.3,15,17.9,4.2,Yes,Yes,Cloudy,"sweater, pants, boots"
2022-07-01,7.7,86,9.4,1.6,Yes,Yes,Cloudy,"sweater, pants, boots"
2022-07-02,15.3,69,11.0,7.4,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-07-03,22.9,25,0.7,5.0,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-07-04,7.6,21,29.8,2.1,Yes,Yes,Cloudy,"sweater, pants, boots"
2022-07-05,4.2,96,16.9,1.1,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-07-06,6.6,4,29.5,0.5,No,No,Cloudy,"sweater, pants, boots"
2022-07-07,5.2,25,40.6,6.7,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-07-08,21.8,2,36.0,6.2,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-07-09,16.6,15,27.8,4.1,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-07-10,14.1,7,0.7,2.1,No,No,Cloudy,"sweater, pants, boots"
2022-07-11,17.3,0,25.8,2.2,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-07-12,28.9,37,32.0,8.0,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-07-13,-8.6,100,7.3,1.3,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-07-14,20.0,89,16.2,5.2,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-07-15,1.7,42,19.4,7.3,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-07-16,11.8,67,41.1,6.5,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-07-17,2.2,71,4.8,4.2,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-07-18,-9.2,66,0.8,4.4,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-07-19,3.0,74,27.2,8.0,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-07-20,15.8,25,4.7,4.0,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-07-21,28.5,13,49.8,7.3,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-07-22,24.5,6,19.1,8.3,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-07-23,3.4,86,17.3,6.4,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-07-24,-7.5,64,49.9,0.3,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-07-25,8.0,57,23.6,9.0,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-07-26,11.1,48,13.2,6.5,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-07-27,-5.0,61,12.3,8.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-07-28,28.4,14,27.2,1.1,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-07-29,9.3,74,27.6,0.5,No,No,Cloudy,"sweater, pants, boots"
2022-07-30,2.3,35,39.6,8.8,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-07-31,-1.4,84,19.7,1.5,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-08-01,23.2,8,30.2,7.9,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-08-02,9.8,61,13.9,4.3,No,No,Cloudy,"sweater, pants, boots"
2022-08-03,8.9,42,0.7,9.3,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-08-04,25.9,80,3.5,0.7,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-08-05,2.8,76,32.1,5.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-08-06,16.7,98,11.7,8.0,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-08-07,11.5,42,36.7,7.3,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-08-08,24.0,93,16.6,4.6,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-08-09,16.8,11,39.6,2.0,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-08-10,22.3,90,22.2,5.8,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-08-11,-0.8,60,48.8,0.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-08-12,27.4,25,28.9,7.9,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-08-13,-4.2,4,42.0,3.4,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-08-14,6.8,29,43.9,8.8,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-08-15,-4.7,46,40.6,0.0,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-08-16,12.8,50,4.5,8.4,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-08-17,23.8,57,46.8,5.0,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-08-18,20.5,58,30.6,8.0,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-08-19,20.2,53,42.0,9.1,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-08-20,19.1,10,49.8,8.8,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-08-21,-1.8,95,45.9,3.7,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-08-22,14.4,14,44.4,2.4,No,No,Cloudy,"sweater, pants, boots"
2022-08-23,11.8,50,2.8,5.7,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-08-24,29.6,77,7.8,0.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-08-25,14.8,48,13.4,7.6,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-08-26,-7.8,92,4.0,4.7,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-08-27,3.9,22,43.9,3.5,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-08-28,13.0,80,7.3,5.5,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-08-29,1.8,80,40.8,3.8,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-08-30,21.0,12,11.9,3.7,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-08-31,4.0,64,33.1,3.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-09-01,24.0,99,35.1,8.9,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-09-02,24.3,79,26.3,9.1,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-09-03,-7.3,41,14.4,1.1,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-09-04,28.6,71,24.9,7.1,Yes,Yes,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-09-05,8.6,37,21.4,5.5,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-09-06,10.7,8,48.7,6.2,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-09-07,2.6,6,40.0,4.2,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-09-08,23.0,41,20.6,2.6,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-09-09,23.0,75,46.8,8.2,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-09-10,5.0,75,11.9,7.5,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-09-11,9.4,55,7.8,4.2,No,No,Cloudy,"sweater, pants, boots"
